name,mass,massRound,year,reclat,reclong
Elbogen,107000,5,1399,50.18333,12.73333
Zhovtnevyi,107000,5,1938,47.58333,37.25
Abee,107000,5,1952,54.21667,-113
Tiberrhamine,107000,5,1967,28.11667,0.53333
Faith,105000,5,1952,45.33333,-102.08333
Cook 001,105000,5,1989,-30.33333,130.53333
Chico,104800,5,1954,36.5,-104.2
Juncal,104000,5,1866,-26,-69.25
Molong,104000,5,1912,-33.28333,148.88333
Colby (Wisconsin),104000,5,1917,44.9,-90.28333
Udei Station,103000,5,1927,7.95,8.08333
Rifle,102700,5,1948,38.51667,-107.83333
Seeläsgen,102000,5,1847,52.26667,15.55
Sevrukovo,101000,5,1874,50.61667,36.6
Lutschaunig's Stone,100000,5,1861,-27,-70
Pierceville (iron),100000,5,1917,37.86667,-100.66667
Dimitrovgrad,100000,5,1949,43.04639,22.86389
Paranaiba,100000,5,1956,-19.13333,-51.66667
Budulan,100000,5,1962,50.56667,114.9
Faucett,100000,5,1966,39.61667,-94.86667
Murchison,100000,5,1969,-36.61667,145.2
Retuerta del Bullaque,100000,5,1980,39.45889,-4.3775
Zhongxiang,100000,5,1981,31.2,112.5
Anyujskij,100000,5,1981,66.9,164.2
Kidairat,100000,5,1983,14,28
Gujba,100000,5,1984,11.49167,11.65833
Cook 007,100000,5,1989,-30.61667,130.41667
Juancheng,100000,5,1997,35.5,115.41667
Agoudal,100000,5,2000,31.98457,-5.51528
Franconia,100000,5,2002,34.71637,-114.22197
Northwest Africa 4502,100000,5,2005,0,0
Chergach ,100000,5,2007,23.69639,-5.01472
Tamdakht,100000,5,2008,31.16333,-7.015
Bou Azarif,100000,5,2010,31.15643,-5.15262
Chelyabinsk,100000,5,2013,54.81667,61.11667
Social Circle,99300,5,1927,33.7,-83.7
Steinbach,98000,5,1724,50.5,12.5
Palmas de Monte Alto,97000,5,1954,-14.3675,-43.02278
Zavid,95000,5,1897,44.4,19.11667
Dar al Gani 749,95000,5,1999,27.30167,15.7645
Loreto,94800,5,1896,26.01667,-111.36667
Weekeroo Station,94200,5,1924,-32.26667,139.86667
Carver,94000,5,1935,32,-86
Concho,93500,5,1939,32,-101.5
Machinga,93200,5,1981,-15.21222,35.24222
Watson 001,93000,5,1972,-30.5,131.55
Wiltshire,92750,5,,51.14967,-1.81
Jiddat al Harasis 090,92668,5,2002,19.71678,56.6062
Karee Kloof,92100,5,1914,-31.6,25.8
Laguna Manantiales,92000,5,1945,-48.58333,-67.41667
Juvinas,91000,5,1821,44.71667,4.3
Richardton,90000,5,1918,46.88333,-102.31667
ad-Dahbubah,90000,5,1961,19.83333,51.25
Mincy,89400,5,1857,36.55,-93.1
Farmington,89400,5,1890,39.75,-97.03333
Bennett County,89000,5,1934,43.5,-101.25
San Angelo,88000,5,1897,31.41667,-100.35
Mills,88000,5,1970,36.23,-104.11889
Northwest Africa 6727,88000,5,2006,0,0
Wagon Mound,87500,5,1932,35.84083,-104.58583
Roebourne,86860,5,1892,-22.33333,118
Bath Furnace,86000,5,1902,38.25,-83.75
Tulia (a),86000,5,1917,34.61667,-101.95
Apoala,85000,5,1889,17.7,-97
Kayakent,85000,5,1961,39.26333,31.78
Juanita de Angeles,85000,5,1992,28.41667,-105.08333
Zapaliname,85000,5,1998,25.00944,-100.75
Gan Gan,83000,5,1984,-42.66667,-68.08333
Bruceville,83000,5,1998,38.295,-121.405
Ness County (1894),82000,5,1894,38.5,-99.6
Gretna,82000,5,1912,39.93333,-99.21667
Renfrow,81600,5,1986,36.98667,-97.555
Carlton,81200,5,1887,31.91667,-98.03333
Ainsworth,80650,5,1907,42.6,-99.8
Kernouve,80000,5,1869,48.11667,-3.08333
Soko-Banja,80000,5,1877,43.66667,21.86667
Unter-Mässing,80000,5,1920,49.09028,11.33333
Vera,80000,5,1941,-29.91667,-60.28333
Baygorria,80000,5,1994,-33,-56
Mrirt,79900,5,1937,33.13333,-5.56667
Belle Plaine,78800,5,1950,37.31667,-97.25
Finmarken,78300,5,1902,70,24
Parnallee,77600,5,1857,9.23333,78.35
Moorumbunna,77000,5,1943,-28.91667,136.25
Jiddat al Harasis 230,77000,5,2005,19.7127,56.58277
Augusta County,76000,5,1858,38.16667,-79.08333
Northbranch,76000,5,1972,39.99167,-98.34167
Yelland Dry Lake,76000,5,2007,39.35067,-114.40783
Tawallah Valley,75750,5,1939,-15.7,135.66667
Xingyang,75500,5,1977,32.33333,114.31667
Acme,75000,5,1947,33.63333,-104.26667
Bayard,75000,5,1982,41.81667,-103.36667
Wolsey,74830,5,1981,44.4,-98.53333
Walker County,74800,5,1832,34,-87.16667
Tilden,74800,5,1927,38.2,-89.68333
Hunter,74600,5,1962,36.56,-97.66667
Ethiudna,74318,5,1977,-32.03333,139.78333
Toufassour,73300,5,2007,29.65225,-7.7493
Nelson County,73030,5,1856,37.75,-85.5
Uwharrie,72700,5,1930,35.51667,-79.96667
Uruaçu,72500,5,1992,-14.53333,-48.76667
